dataset,model,mean_prediction_mse,bootstrap_variance,mean_bootstrap_mse,identity_gap,n_bootstrap,fit_time_sec
Diabetes,Dummy,5485.22507892692,18.426794773890553,5503.651873700811,2.8066438062523957e-13,60,0.01415616599842906
Diabetes,Ridge,2799.2372081288645,83.88309646307997,2883.120304591944,-2.5579538487363607e-13,60,0.09172150000813417
Diabetes,Decision Tree,3332.069535816317,1153.3416671160896,4485.411202932408,1.1368683772161603e-12,60,0.07128500001272187
Diabetes,Random Forest,3175.6835206888,299.6971727655079,3475.3806934543077,-1.7053025658242404e-13,60,5.853233250003541
Diabetes,Gradient Boosting,2940.6602882456596,198.42092740231854,3139.081215647978,-2.5579538487363607e-13,60,2.46255320799537
Diabetes,MLP,2748.7499260734094,421.6109576662627,3170.3608837396723,2.2737367544323206e-13,60,4.251786083972547
California Housing,Dummy,1.3361035003315607,0.0003816422977357134,1.3364851426292963,-8.407987847625087e-17,60,0.01862187500228174
California Housing,Ridge,0.7781812355995876,1.8213090499015594,2.5994902855011466,-4.440892098500626e-16,60,0.10238991698133759
California Housing,Decision Tree,0.4989312605298296,0.10542845244229743,0.604359712972127,-5.551115123125783e-17,60,0.3968297500105109
California Housing,Random Forest,0.38149731930074193,0.022403785117259743,0.40390110441800176,7.979727989493313e-17,60,14.183678750006948
California Housing,Gradient Boosting,0.49006471250610356,0.007072732215809562,0.4971374447219132,5.637851296924623e-17,60,22.856920541991713
California Housing,MLP,0.35877052885639027,0.17805533850606223,0.5368258673624525,2.7755575615628914e-17,60,26.76354387498577
